Issue key,Status,Priority,Custom field (Severity),Project key,Issue Type,Created,Assignee,Custom field (Digital Service),Summary,Description
DCM021CX0118-22389,Rejected,Medium,Critical,DCM021CX0118,Bug,2020-01-10T03:36:00,Javier Pedraza,2. Orders & Delivery Schedule,PREPROD_DS5_One Click functionality is not available on customer´s side,Test user:  PH: username [PHCXGOV2@cemexlabs.com|mailto:PHCXGOV2@cemexlabs.com]  password: C3m3xgo01\! EG: username [CZCXGOEG@cemexlabs.com|mailto:CZCXGOEG@cemexlabs.com]  password: C3m3xgo01\!  Test environment: [https://pp.cemexgo.com/login|https://pp.cemexgo.com/login]   Description:  One Click Buy functionality is not available on customer´s side even though the customer has the role for One Click assigned in L0 console.    Steps to reproduce:  1. Login to CMX Go as customer  select local language (English Philippines  English EG) 2. Check the sidebar menu and look for option One Click Buy  Actual:  Icon One Click is missing in sidebar menu  Expected: Assuming the customer has the role of One Click assigned  he is supposed to see the One Click icon in his sidebar menu. 
DCM021CX0118-22390,Rejected,Medium,Major,DCM021CX0118,Bug,2020-01-10T03:59:00,Javier Pedraza,5. Cross Product – User Provisioning,PREPROD EG DS5 - Old view of  "Assign Applications And Data" is shown in L0,[https://pp-users-provisioning-console-eu.cemexgo.com|https://pp-users-provisioning-console-eu.cemexgo.com/]  Username: customer.service.EG@cemexlabs.com Password: Cust0m$ervice  Test steps: 1. Log in to L0 console PreProd 2. Look for a customer 50024110 3. Select the first one user in the list (CZCXGOV2 User) 4. Scroll down to "Assign Applications And Data"  {color:#d04437}*Actual behavior:*{color} "Access to apps" tab is shown  switches for the apps in the old view  !image-20200110-100141.png|width=1515 height=443!  {color:#14892c}*Expected behavior:*{color} "Permissions" tab with the list of Role Profiles is shown (Defined permissions for user to perform a group task) - the new functionality for EG came with 2.2.7.0 release   !image-20200110-100112.png|width=1591 height=675!  
DCM021CX0118-22391,Closed,Medium,Critical,DCM021CX0118,Bug,2020-01-16T16:17:00,Javier Echavez,4. Credits  Invoices & Payments,REG ES DS4 Customer initial load,When execution intial load customer data  we are getting error 4 in Finance Documents.   !image-2020-01-16-16-08-17-846.png|thumbnail!     REPRODUCTION STEPS  Execute txc Z0120_CARGA_IIB in SR0 with "Reprocess error data" with customer 50128480 and look afterwards the customer control report in txc Z0120_INQ_CUST_IIB.    EXPECTED BEHAVIOR  Execution should be completed successfully.    ACTUAL BEHAVIOR  Integration error 4 in Cleared invoices integration and this message has no description either.
DCM021CX0118-22392,Closed,Medium,Critical,DCM021CX0118,Bug,2020-01-17T13:30:00,Eduardo Izaguirre,4. Credits  Invoices & Payments,REG ES DS4 Balance per client report,When execution balance per client report sometimes report brings 0 from azure BD  !image-2020-01-17-13-20-28-312.png|width=200 height=183!     *REPRODUCTION STEPS* Execute transaction Z0120_OI_BALANCE in SR0 with the customers: 50128480 50019304 50000579 Country code: ES Company code: 4000  *EXPECTED BEHAVIOR* Execution should show the same data from SAP as from Azure BD  *ACTUAL BEHAVIOR* Communicatin error with Azure BD as sometimes it shows 0 in Azure BD fields
DCM021CX0118-22393,Closed,Medium,Critical,DCM021CX0118,Bug,2020-01-17T13:55:00,Gerardo Herrera Guerrero,5. Cross Product – User Provisioning,REG ES - User provision account with no roles,The user account customer.service.ES@cemexlabs.com used for the L0 console does not have the roles to access the console    Steps to reproduce:  1.- Acess to https://qa-users-provisioning-console-eu.cemexgo.com/login  2. -User: customer.service.ES@cemexlabs.com  pass: Customer$ervic3  3.- Does not have permission to access     Talking with [~accountid:557058:40a4ae52-977a-47f4-8df2-227170a13e11] the roles does not exist in the QA EU DB               !
DCM021CX0118-22395,Closed,Medium,Critical,DCM021CX0118,Bug,2020-01-23T11:17:00,Javier Echavez,4. Credits  Invoices & Payments,S4 CZ Commercial Integration Data,Commercial interface customer initial load ending with error for CZ.  
DCM021CX0118-22398,Closed,Medium,Minor,DCM021CX0118,Bug,2020-01-24T13:58:00,Monica A. Salinas Flores,3. Delivery Tracking,Replication status from Driver to RMS - XRQ,delivery AE - 1008240815     !image-2020-01-24-13-57-13-364.png|thumbnail!   
DCM021CX0118-22396,Closed,Medium,Critical,DCM021CX0118,Bug,2020-01-27T15:41:00,Javier Echavez,4. Credits  Invoices & Payments,S4 EG Download Documents from Pending Orders,Open order / deliveries value for last 90 days is not being retrived into OLS S4.  !image-20200127-214311.png|width=1508 height=360!  
DCM021CX0118-22397,Closed,Medium,Major,DCM021CX0118,Bug,2020-01-28T10:06:00,Jesus Perez,2. Orders & Delivery Schedule,Back-end system SIMMA (QA) are not replicated to CMX Go QA,The sales orders created in their back-end system SIMMA (QA) are not replicated to CMX Go QA.   Below can be found previous conversation. According to his findings  the RMX orders we created can be found in DB Error log while there´s a weird message saying that the customer doesn´t exist.    More In Deep  here is a screenshot from DB saying that the customer 50045000 doesn´t exist. So it can be assume  that it´s a misleading message because as it can be saw the customer in CMX Go and neither respective jobsites are marked for deletion or blocked. However  it looks like the problem is in DB.      !image-2020-01-28-09-55-31-624.png|thumbnail!      Also  attached to the issue is an XML message which SIMMA is sending.         
DCM021CX0118-22399,Analysis,Medium,Minor,DCM021CX0118,Bug,2020-01-30T14:14:00,Eduardo Pedraza Figueroa,4. Credits  Invoices & Payments,S4 ES Commercial Integration Data Error,Commercial interface customer initial load ending with error for CZ.  
DCM021CX0118-22400,Closed,Medium,Minor,DCM021CX0118,Bug,2020-01-30T16:10:00,DanielC,1. Customer Information & Commercial Conditions,Contract Balance Issue,Having a contract with type ZCA in Egypt.   When a order is created for for the client and material related to the contract  there is an issue when the contract is visualized:   - Balance is not shown.   - There is a message Error "Invalid Status Code: 500" (The error is thrown by Balance API)    It should discount the material included in the order from the original total value in the contract.    Information used in functional Testing:  - Sold-To: 50136277  - Ship-To: 65445500  - Contract: 20110925110  - Material: 10001680  - Order: 2011092512   
DCM021CX0118-22402,Rejected,Medium,Minor,DCM021CX0118,Bug,2020-02-28T05:25:00,Joseph Rodiz,3. Delivery Tracking,UAT ES DS3 End of day button does not appear sometimes,Driver App 1.7.0.4    Case 1:    Driver has completed some trips as it can be seen on the history:     !image-2020-02-28-12-22-43-842.png|thumbnail!     but the End of day button does not appear in the active section:     !image-2020-02-28-12-23-15-687.png|thumbnail!     Case 2:  In other cases  it appears:     !image-2020-02-28-12-23-34-231.png|thumbnail!    !image-2020-02-28-12-23-40-275.png|thumbnail!     The end of day button has not been clicked in Case 1.
DCM021CX0118-22403,Rejected,Medium,Minor,DCM021CX0118,Bug,2020-02-28T05:50:00,Jose Santana Santana,3. Delivery Tracking,UAT ES DS3 No pop-up for change of vehicle for same hauler,Driver App 1.7.0.4  # Add TicketSourceCode 19940078 for truck 7839JCS with Hauler 3031519 # Follow the delivery process  sign it and close it.   !image-2020-02-28-12-49-55-442.png|width=200 height=183! # Add TicketSourceCode 19940090 for truck 4433FJH with Hauler 3031519   !image-2020-02-28-12-50-03-108.png|width=200 height=183!     !image-2020-02-28-12-50-07-776.png|width=200 height=183!  Expected result: A warning should appear saying that you are changing vehicle.
DCM021CX0118-22404,Rejected,Medium,Major,DCM021CX0118,Bug,2020-02-28T05:57:00,Jose Santana Santana,3. Delivery Tracking,UAT ES DS3 Document 27 not available if HTC fails,Driver 1.7.0.4    The file is not available in the case of tickets finished before HTC sends the document.     !image-2020-02-28-12-54-11-102.png|thumbnail!      !image-2020-02-28-12-53-56-098.png|thumbnail!      !image-2020-02-28-12-54-02-391.png|thumbnail!     
DCM021CX0118-22405,Rejected,Medium,Major,DCM021CX0118,Bug,2020-02-28T06:06:00,Kenny J Franco,3. Delivery Tracking,UAT ES DS3 Errors in Document 27,Driver 1.7.0.4    TicketCode: 1008241793    After HTC sends the document 27  it appears with some letters missing (substituted by square signs □     !image-2020-02-28-13-04-13-343.png|thumbnail!   Detail:   !image-2020-02-28-13-04-35-780.png|thumbnail! 
DCM021CX0118-22406,Rejected,Medium,Major,DCM021CX0118,Bug,2020-02-28T06:38:00,Jose Santana Santana,3. Delivery Tracking,UAT ES DS3 Cannot add ticket after revoking when status is Unloading End,Driver 1.7.0.4    When all statuses have been filled in Drivers Lite but the ePOD has not been signed  the driver clicks on Revoke because he realizes it is not his ticket.    The right driver is not able to add that ticket.
DCM021CX0118-22407,Closed,Medium,Major,DCM021CX0118,Bug,2020-02-28T08:16:00,Jose Santana Santana,3. Delivery Tracking,UAT ES DS3 Incorrect translations in Drivers,Driver 1.7.0.4.    The following translations have been updated in the Translations Console  please update them to the QA version:  App: Mobile Drivers  plate_value  different_jobsite_msg  inactivity_content  message_error204  revoke_ticket_confirmation_text  revoke_ticket_title  switch_haulers_content  enter_the_hauler_number_text  location_peromission_not granted  inactivity_title  speed_alertmessage  speed_alertmessageRequest  ticket_already_completed  permission_read_storage_rationale  permission_loaction_rationale  permission_camera_not_granted  time_error  time_config_text  send_now_msg  select_country  revoke_ticket_confirmation_text  err_msg_401  check_connectivity
DCM021CX0118-22408,Closed,Medium,Major,DCM021CX0118,Bug,2020-02-28T08:18:00,Andrea De Hernando,5. Cross Product – User Provisioning,UAT_FR_DS5_Error message when trying to share a notification,www.qa-eu.cemexgo.com  User: tison@mailinator.com / Password: Testcxg0  Steps: 1- log in cemex go 2- click on the upper right icon (notifications) 3- select option ‘toutes les notifications’ 4- Click on Share the notification 5- complete email field 6- complete the comment field 7- click on Send button  Actual result: Banner of error is displayed   !image-2020-02-28-15-13-47-027.png|thumbnail! 
DCM021CX0118-22409,Closed,Medium,Critical,DCM021CX0118,Bug,2020-02-28T08:20:00,Andrea De Hernando,4. Credits  Invoices & Payments,UAT_FR_DEP_DS5_No email received after sharing a notification,www.qa-eu.cemexgo.com  User: tison@mailinator.com / Password: Testcxg0  Steps: 1- log in cemex go 2- click on the upper right icon (notifications) 3- select option ‘toutes les notifications’ 4- Click on Share the notification 5- complete email field without @cemex.com adress 6- complete the comment field 7- click on Send button  Actual result: no error message displayed in cemex go  no email received in selected inboxes 
